id_siniestro,nro_victimas,fecha,franja_hora,tipo_calle,comuna,longitud,latitud,vehiculo_victima,vehiculo_acusado,rol,sexo,edad,gravedad,year,month,quarter,semester,id_victima
2016-0001,1,2016-01-01,4,avenida,8,-58.47533969,-34.68757022,moto,auto,conductor,masculino,19,fatal,2016,1,1,1,1
2016-0002,1,2016-01-02,1,gral paz,9,-58.50877521,-34.66977709,auto,pasajeros,conductor,masculino,70,fatal,2016,1,1,1,1
2016-0003,1,2016-01-03,7,avenida,1,-58.39040293,-34.63189362,moto,auto,conductor,masculino,30,fatal,2016,1,1,1,1
2016-0004,1,2016-01-10,0,avenida,8,-58.46503904,-34.68092974,moto,,conductor,masculino,18,fatal,2016,1,1,1,1
2016-0005,1,2016-01-21,5,avenida,1,-58.38718297,-34.6224663,moto,pasajeros,conductor,masculino,29,fatal,2016,1,1,1,1
2016-0008,1,2016-01-24,18,avenida,8,-58.44451316,-34.68475866,moto,objeto fijo,conductor,masculino,30,fatal,2016,1,1,1,1
2016-0009,1,2016-01-24,19,calle,11,-58.50095869,-34.6082544,moto,auto,pasajero_acompañante,masculino,29,fatal,2016,1,1,1,1
2016-0010,1,2016-01-29,15,gral paz,9,-58.50877521,-34.66977709,moto,auto,conductor,masculino,18,fatal,2016,1,1,1,1
2016-0012,1,2016-02-08,1,avenida,1,-58.38048577,-34.61303893,moto,cargas,conductor,masculino,22,fatal,2016,2,1,1,1
2016-0013,1,2016-02-10,11,avenida,1,-58.39114932,-34.62477387,peaton,auto,peaton,masculino,16,fatal,2016,2,1,1,1
2016-0015,1,2016-02-14,5,avenida,15,-58.4376002,-34.59912758,peaton,auto,peaton,femenino,16,fatal,2016,2,1,1,1
2016-0016,1,2016-02-14,22,avenida,4,-58.36882665,-34.64291993,moto,auto,pasajero_acompañante,femenino,19,fatal,2016,2,1,1,1
2016-0017,1,2016-02-15,16,avenida,8,-58.44989671,-34.65970435,peaton,moto,peaton,masculino,59,fatal,2016,2,1,1,1
2016-0019,1,2016-02-17,9,calle,9,-58.50990884,-34.65468721,peaton,pasajeros,peaton,femenino,65,fatal,2016,2,1,1,1
2016-0020,1,2016-02-17,16,calle,1,-58.37952223,-34.60653282,peaton,auto,peaton,masculino,59,fatal,2016,2,1,1,1
2016-0021,1,2016-02-17,23,avenida,7,-58.45157703,-34.63063795,auto,auto,conductor,masculino,34,fatal,2016,2,1,1,1
2016-0022,1,2016-02-21,6,avenida,1,-58.38144696,-34.61079875,moto,auto,pasajero_acompañante,masculino,41,fatal,2016,2,1,1,1
2016-0025,1,2016-02-28,4,gral paz,8,-58.46244952,-34.70524971,auto,auto,pasajero_acompañante,masculino,34,fatal,2016,2,1,1,1
2016-0026,1,2016-02-28,7,calle,12,-58.49216191,-34.54738649,auto,objeto fijo,conductor,masculino,30,fatal,2016,2,1,1,1
2016-0027,1,2016-02-28,9,avenida,7,-58.44497874,-34.63852623,auto,auto,pasajero_acompañante,masculino,34,fatal,2016,2,1,1,1
2016-0028,1,2016-03-02,10,avenida,1,-58.38199706,-34.60028648,peaton,cargas,peaton,masculino,50,fatal,2016,3,1,1,1
2016-0029,1,2016-03-04,17,avenida,12,-58.47378664,-34.54153077,peaton,pasajeros,peaton,masculino,38,fatal,2016,3,1,1,1
2016-0031,1,2016-03-08,12,gral paz,8,-58.47064556,-34.69843756,moto,pasajeros,conductor,masculino,21,fatal,2016,3,1,1,1
2016-0034,1,2016-03-12,12,avenida,4,-58.40623949,-34.65076549,peaton,pasajeros,peaton,masculino,52,fatal,2016,3,1,1,1
2016-0035,1,2016-03-13,6,avenida,3,-58.39228965,-34.60443527,moto,pasajeros,conductor,masculino,34,fatal,2016,3,1,1,1
2016-0036,1,2016-03-14,0,calle,4,-58.37813396,-34.63668504,moto,pasajeros,pasajero_acompañante,masculino,36,fatal,2016,3,1,1,1
2016-0037,1,2016-03-19,11,avenida,7,-58.46275892,-34.64358293,moto,moto,conductor,masculino,20,fatal,2016,3,1,1,1
